ID,Domain,What it computes,Rule in plain English,COBOL as written,Program,Paragraph,Line,Driver fields,Notes
INT-01,Interest — finance charge,Daily interest fraction (day factor),"An annual rate is turned into a daily one. The divisor depends on the year basis set for the product: 360, 365, or 366 in a leap year.",IF YEAR-BASE-360  MOVE .0027778 TO WSI-DAY-FACTOR ; IF YEAR-BASE-365  MOVE .0027397 TO WSI-DAY-FACTOR ; IF YEAR-BASE-366  MOVE .0027322 (leap) / .0027397 TO WSI-DAY-FACTOR,CPD110,COMPUTE-DAY-FACTOR,13209,YEAR-BASE-360 / 365 / 366,".0027778 = 1/360, .0027397 = 1/365, .0027322 = 1/366. Leap year is tested from OC-TODAYS-JULIAN."
INT-02,Interest — finance charge,Number of days to accrue,Days between the date interest was last accrued through and the new accrue-through date.,MOVE CM-DTE-ACCR-THRU TO WS-DTE-DATE-2 ; MOVE WS-ACCR-THRU-DTE TO WS-DTE-DATE-1 ; PERFORM ZZZZ-ELAPSED-DAYS -> WS-DTE-RESULT ; MOVE WS-DTE-RESULT TO WSI-DAYS,CPD110,PROCESS-INTEREST-RATE,11600,"CM-DTE-ACCR-THRU, WS-ACCR-THRU-DTE",Drives every accrual below. CM-DTE-LST-ACCR keeps the previous value for audit.
INT-03,Interest — finance charge,One day's interest — single rate,Balance x annual rate x daily fraction. This is the base case when the product has no rate bands.,COMPUTE WSI-ACCRUAL ROUNDED = WSI-AMNT * WSI-RATE-1 * WSI-DAY-FACTOR,CPD110,INTEREST-PROCESSING,13982,"WSI-AMNT, WSI-RATE-1, WSI-DAY-FACTOR",WSI-AMNT is the interest-bearing balance for the bucket being processed (cash or retail).
INT-04,Interest — finance charge,One day's interest — two rate bands,The balance up to the first limit is charged at rate 1; everything above it at rate 2.,COMPUTE WSI-ACCRUAL ROUNDED = ; (WSI-LIMIT-1 * WSI-RATE-1 ; + (WSI-AMNT - WSI-LIMIT-1) * WSI-RATE-2) * WSI-DAY-FACTOR,CPD110,INTEREST-PROCESSING,13989,"WSI-LIMIT-1, WSI-RATE-1, WSI-RATE-2",Tiered pricing. Applied when the balance exceeds WSI-LIMIT-1 but not WSI-LIMIT-2.
INT-05,Interest — finance charge,One day's interest — three rate bands,"Band 1 up to limit 1 at rate 1, band 2 between the two limits at rate 2, the remainder at rate 3.",COMPUTE WSI-ACCRUAL ROUNDED = ; (WSI-LIMIT-1 * WSI-RATE-1 ; + (WSI-LIMIT-2 - WSI-LIMIT-1) * WSI-RATE-2 ; + (WSI-AMNT - WSI-LIMIT-2) * WSI-RATE-3) * WSI-DAY-FACTOR,CPD110,INTEREST-PROCESSING,13993,"WSI-LIMIT-1, WSI-LIMIT-2, WSI-RATE-1/2/3",Full three-tier ladder — the most general interest shape in the MY portfolio.
INT-06,Interest — finance charge,One day's interest — flat top rate,"Whole balance charged at rate 3, used where the product prices everything at the top band.",COMPUTE WSI-ACCRUAL ROUNDED = WSI-AMNT * WSI-RATE-3 * WSI-DAY-FACTOR,CPD110,INTEREST-PROCESSING,14003,"WSI-AMNT, WSI-RATE-3",Terminal branch of the banding logic.
INT-07,Interest — finance charge,Scale one day's interest to the period,One day's interest multiplied by the number of days since the last accrual.,MULTIPLY WSI-DAYS BY WSI-ACCRUAL ; (also: COMPUTE WSI-ACCRUAL ROUNDED = WSI-ACCRUAL * WSI-DAYS),CPD110,INTEREST-PROCESSING,12472,WSI-DAYS,Simple (not compound) interest: the per-diem is not re-based within the period.
INT-08,Interest — finance charge,Total across bands,The three band accruals are added into one figure for the bucket.,COMPUTE WSI-ACCRUAL = WSI-ACCRUAL-1 + WSI-ACCRUAL-2 + WSI-ACCRUAL-3,CPD110,INTEREST-PROCESSING,13960,WSI-ACCRUAL-1/2/3,
INT-09,Interest — finance charge,Post accrual to the cash bucket,Accrued cash interest is added to the account's cash interest bucket and to the daily interest-accrual record.,ADD WSI-ACCRUAL TO CM-CASH-ACCRUED-INTR ; ADD WSI-ACCRUAL TO INTM-INTACR-CSH-ACCRUED-TODAY,CPD110,INTEREST-PROCESSING,12486,CM-CASH-ACCRUED-INTR,Cash and retail interest are accrued and held separately all the way to statement.
INT-10,Interest — finance charge,Post accrual to the retail bucket,Accrued retail interest is added to the account's retail interest bucket.,ADD WSI-ACCRUAL TO CM-RTL-ACCRUED-INTR ; ADD WSI-ACCRUAL TO INTM-INTACR-RTL-ACCRUED-TODAY,CPD110,INTEREST-PROCESSING,12738,CM-RTL-ACCRUED-INTR,
